Ticker;Company Name;Beyond;News;Dnews;Date of annoucement ;recources;D1;D2;D3;D5;D10;D20;Beta;M1;M2;M3;M5;M10;M20
MAC;Macerich;Y;B;EB;31/10/2023;https://finance.yahoo.com/news/macerich-co-mac-reports-q3-121627887.html;-0,004098361;0,009259259;0,064220183;-0,057932264;-0,023233301;0,004549591;1,4501;0,006280228;0,010664754;0,01916434;0,00230049;-0,000953224;0,000990143
VSCO;Victoria's Secret;Y;B;EB;30/08/2023;https://finance.yahoo.com/news/victoria-secret-co-reports-second-201500243.html#:~:text=The%20Company%20reported%20net%20sales,the%20second%20quarter%20of%202022.;0,003355705;0,069119287;0,032846715;-0,064613831;-0,009248555;-0,019186047;1,5339;0,0041188;-0,001463382;0,001865216;-0,006722465;0,001165945;0,000399173
DEI;Douglas Emmett;Y;G;EG;31/10/2023;https://finance.yahoo.com/news/douglas-emmett-inc-dei-reports-214414191.html;-0,004440497;0,022301517;0,069808028;-0,02094647;-0,040707965;0;1,0776;0,006280228;0,010664754;0,01916434;0,00230049;-0,000953224;0,000990143
FULT;Fulton Financial Corporation;N;B;B;17/10/2023;https://finance.yahoo.com/news/fulton-financial-corporation-announces-third-203000759.html;0,019433198;-0,015885624;-0,000807103;0,017398509;0,027353178;0,00446761;0,8384;-4,58674E-05;-0,013325077;-0,008786407;-0,001733185;0,011955781;-0,000953224
NGVT;Ingevity Corp.;Y;B;EB;01/11/2023;https://finance.yahoo.com/news/ingevity-reports-third-quarter-2023-201500448.html;-0,025571003;0,077452229;0,012296051;-0,01797304;0,066276284;0,002329795;1,0307;0,010664754;0,01916434;0,00912341;0,00284606;0,019400713;-0,000703405
SPWR;SunPower;N;B;B;01/11/2023;https://finance.yahoo.com/news/sunpower-reports-preliminary-third-quarter-114500867.html;-0,056206089;0,109181141;0,022371365;-0,004662005;0,152230971;0,009950249;1,768;0,010664754;0,01916434;0,00912341;0,00284606;0,019400713;-0,000703405
WLY;John Wiley & Sons;Y;B;EB;09/03/2023;https://finance.yahoo.com/news/wiley-reports-third-quarter-fiscal-130000661.html;-0,173523328;0,003337041;-0,013026608;0,021174478;-0,025380711;0,001584368;0,837;-0,018449814;-0,014429462;-0,001425203;-0,006254308;-0,017046452;-0,002618249
DAN;Dana Incorporated;Y;G;EG;27/10/2023;https://finance.yahoo.com/news/dana-inc-dan-reports-q3-135517371.html;-0,007081039;-0,073692552;-0,017964072;0,021295475;-0,028356964;0;1,6113;-0,004532784;0,011955781;0,006280228;0,01916434;-0,007798742;0,000615358
SDGR;Schrödinger, Inc.;Y;G;EG;01/11/2023;https://finance.yahoo.com/news/schrodinger-inc-sdgr-reports-q3-225856032.html;0,005299539;0,146917259;0,132693845;0,022776573;0,088944905;0,002887392;1,6711;0,010664754;0,01916434;0,00912341;0,00284606;0,019400713;-0,000703405
PECO;Phillips Edison & Company;N;G;G;31/10/2023;https://finance.yahoo.com/news/phillips-edison-company-reports-third-203600841.html;0,03245614;-0,022656471;0,01072153;-0,025933314;-0,006253722;-0,002265647;0,7409;0,006280228;0,010664754;0,01916434;0,00230049;-0,000953224;0,000990143
MC;Moelis & Company;Y;G;EG;02/11/2023;https://finance.yahoo.com/news/moelis-company-reports-third-quarter-201500601.html;-0,182555214;0,041039672;-0,030551905;0,00422215;0,010889292;0,003178272;1,1392;0,01916434;0,00912341;0,00230049;0,000732383;0,002117086;0,003937441
CARG;CarGurus;N;B;B;07/11/2023;https://finance.yahoo.com/news/cargurus-announces-third-quarter-2023-210100079.html;-0,007567568;0,043572985;-0,021920668;-0,001047669;0,015996122;0,007380074;1,6764;0,00284606;0,000732383;-0,007798742;-0,000953224;0,007697598;-0,00019707
CRC;California Resources Corporation;Y;B;EB;01/11/2023;https://finance.yahoo.com/news/california-resources-corp-crc-reports-230446492.html;-0,005704507;0,004016064;-0,011948529;-0,014192785;0,032949583;0,000388425;0,8948;0,010664754;0,01916434;0,00912341;0,00284606;0,019400713;-0,000703405
